link,name,value,var,datetime,max,min
https://cincodias.elpais.com/mercados/empresas/acs/,ACS,80.25,3.41,2025-12-02 18:57:05,80.65,78.55
https://cincodias.elpais.com/mercados/empresas/acciona/,Acciona,172.3,1.35,2025-12-02 18:57:05,173.8,169.5
https://cincodias.elpais.com/mercados/empresas/acerinox/,Acerinox,12.03,-1.31,2025-12-02 18:57:05,12.2,12.03
https://cincodias.elpais.com/mercados/empresas/adolfo-dominguez/,Adolfo Dominguez,4.88,0.0,2025-12-02 18:57:05,4.9,4.84
https://cincodias.elpais.com/mercados/empresas/aedas-homes/,Aedas Homes,23.65,0.0,2025-12-02 18:57:05,23.7,23.65
https://cincodias.elpais.com/mercados/empresas/aena/,Aena,23.4,-0.21,2025-12-02 18:57:05,23.71,23.4
https://cincodias.elpais.com/mercados/empresas/airbus/,Airbus,191.36,-0.84,2025-12-02 18:57:05,193.26,188.28
https://cincodias.elpais.com/mercados/empresas/airt-intell-str/,Airt Intell Str,0.1026,-1.34,2025-12-02 18:57:05,0.104,0.101
https://cincodias.elpais.com/mercados/empresas/alantra-partners/,Alantra Part,8.04,-0.49,2025-12-02 18:57:05,8.1,8.02
https://cincodias.elpais.com/mercados/empresas/almirall/,Almirall,12.72,0.31,2025-12-02 18:57:05,12.98,12.66
https://cincodias.elpais.com/mercados/empresas/amrest/,AmRest,3.345,-1.03,2025-12-02 18:57:05,3.39,3.345
https://cincodias.elpais.com/mercados/empresas/amadeus/,Amadeus IT,61.54,-1.85,2025-12-02 18:57:05,62.64,61.12
https://cincodias.elpais.com/mercados/empresas/amper/,Amper,0.1396,-0.42,2025-12-02 18:57:05,0.142,0.139
https://cincodias.elpais.com/mercados/empresas/aperam/,Aperam,32.96,0.73,2025-12-02 18:57:05,33.44,32.96
https://cincodias.elpais.com/mercados/empresas/arcelormittal/,ArcelorMittal,37.33,-0.26,2025-12-02 18:57:05,37.73,37.33
https://cincodias.elpais.com/mercados/empresas/arima/,Arima,7.15,0.0,2025-12-02 18:57:05,7.15,7.15
https://cincodias.elpais.com/mercados/empresas/atresmedia/,Atresmedia,5.39,-0.36,2025-12-02 18:57:05,5.42,5.37
https://cincodias.elpais.com/mercados/empresas/atrys-health/,Atrys Health,2.73,1.11,2025-12-02 18:57:05,2.74,2.66
https://cincodias.elpais.com/mercados/empresas/audax-renovables/,Audax Renov,1.332,-0.59,2025-12-02 18:57:05,1.346,1.322
https://cincodias.elpais.com/mercados/empresas/azkoyen/,Azkoyen,8.42,-0.47,2025-12-02 18:57:05,8.54,8.42
https://cincodias.elpais.com/mercados/empresas/bbva/,BBVA,18.815,0.29,2025-12-02 18:57:05,18.975,13.771
https://cincodias.elpais.com/mercados/empresas/banco-sabadell/,Banco Sabadell,3.195,0.82,2025-12-02 18:57:05,3.219,3.181
https://cincodias.elpais.com/mercados/empresas/banco-santander/,Banco Santander,9.431,1.46,2025-12-02 18:57:05,9.48,9.315
https://cincodias.elpais.com/mercados/empresas/bankinter/,Bankinter,14.01,2.48,2025-12-02 18:57:05,14.16,13.885
https://cincodias.elpais.com/mercados/empresas/berkeley-energia/,Berkeley Energi,0.289,-2.03,2025-12-02 18:57:05,0.294,0.2885
