link,name,value,var,datetime,max,min
https://cincodias.elpais.com/mercados/empresas/acs/,ACS,"80,250","+3,41%",2025-12-02 18:57:05,"80,650","78,550"
https://cincodias.elpais.com/mercados/empresas/acciona/,Acciona,"172,30","+1,35%",2025-12-02 18:57:05,"173,80","169,50"
https://cincodias.elpais.com/mercados/empresas/acerinox/,Acerinox,"12,030","-1,31%",2025-12-02 18:57:05,"12,200","12,030"
https://cincodias.elpais.com/mercados/empresas/adolfo-dominguez/,Adolfo Dominguez,"4,8800","0,00%",2025-12-02 18:57:05,"4,9000","4,8400"
https://cincodias.elpais.com/mercados/empresas/aedas-homes/,Aedas Homes,"23,650","0,00%",2025-12-02 18:57:05,"23,700","23,650"
https://cincodias.elpais.com/mercados/empresas/aena/,Aena,"23,400","-0,21%",2025-12-02 18:57:05,"23,710","23,400"
https://cincodias.elpais.com/mercados/empresas/airbus/,Airbus,"191,36","-0,84%",2025-12-02 18:57:05,"193,26","188,28"
https://cincodias.elpais.com/mercados/empresas/airt-intell-str/,Airt Intell Str,"0,1026","-1,34%",2025-12-02 18:57:05,"0,1040","0,1010"
https://cincodias.elpais.com/mercados/empresas/alantra-partners/,Alantra Part,"8,0400","-0,49%",2025-12-02 18:57:05,"8,1000","8,0200"
https://cincodias.elpais.com/mercados/empresas/almirall/,Almirall,"12,720","+0,31%",2025-12-02 18:57:05,"12,980","12,660"
https://cincodias.elpais.com/mercados/empresas/amrest/,AmRest,"3,3450","-1,03%",2025-12-02 18:57:05,"3,3900","3,3450"
https://cincodias.elpais.com/mercados/empresas/amadeus/,Amadeus IT,"61,540","-1,85%",2025-12-02 18:57:05,"62,640","61,120"
https://cincodias.elpais.com/mercados/empresas/amper/,Amper,"0,1396","-0,42%",2025-12-02 18:57:05,"0,1420","0,1390"
https://cincodias.elpais.com/mercados/empresas/aperam/,Aperam,"32,960","+0,73%",2025-12-02 18:57:05,"33,440","32,960"
https://cincodias.elpais.com/mercados/empresas/arcelormittal/,ArcelorMittal,"37,330","-0,26%",2025-12-02 18:57:05,"37,730","37,330"
https://cincodias.elpais.com/mercados/empresas/arima/,Arima,"7,1500","0,00%",2025-12-02 18:57:05,"7,1500","7,1500"
https://cincodias.elpais.com/mercados/empresas/atresmedia/,Atresmedia,"5,3900","-0,36%",2025-12-02 18:57:05,"5,4200","5,3700"
https://cincodias.elpais.com/mercados/empresas/atrys-health/,Atrys Health,"2,7300","+1,11%",2025-12-02 18:57:05,"2,7400","2,6600"
https://cincodias.elpais.com/mercados/empresas/audax-renovables/,Audax Renov,"1,3320","-0,59%",2025-12-02 18:57:05,"1,3460","1,3220"
https://cincodias.elpais.com/mercados/empresas/azkoyen/,Azkoyen,"8,4200","-0,47%",2025-12-02 18:57:05,"8,5400","8,4200"
https://cincodias.elpais.com/mercados/empresas/bbva/,BBVA,"18,815","+0,29%",2025-12-02 18:57:05,"18,975","13,771"
https://cincodias.elpais.com/mercados/empresas/banco-sabadell/,Banco Sabadell,"3,1950","+0,82%",2025-12-02 18:57:05,"3,2190","3,1810"
https://cincodias.elpais.com/mercados/empresas/banco-santander/,Banco Santander,"9,4310","+1,46%",2025-12-02 18:57:05,"9,4800","9,3150"
https://cincodias.elpais.com/mercados/empresas/bankinter/,Bankinter,"14,010","+2,48%",2025-12-02 18:57:05,"14,160","13,885"
https://cincodias.elpais.com/mercados/empresas/berkeley-energia/,Berkeley Energi,"0,2890","-2,03%",2025-12-02 18:57:05,"0,2940","0,2885"
